Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,variety_labeled,class_labeled,size_labeled,package_labeled,market_labeled,kg_price
GALA,CLASS 1,SMALL,ECONOMIC PACK,12,112,784,7,11,BLO,14,1,3,2,0,9.33
GALA,CLASS 1,SMALL,ECONOMIC PACK,12,112,784,7,11,BLO,14,1,3,2,0,9.33
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,210,4835,23,26,BLO,4,1,1,1,0,11.67
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,220,4840,22,100,BLO,4,1,2,1,0,12.22
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,210,4835,23,26,BLO,4,1,1,1,0,11.67
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,220,4840,22,100,BLO,4,1,2,1,0,12.22
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,21,722,33,305,BLO,4,0,3,3,0,7.0
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,21,722,33,305,BLO,4,0,3,3,0,7.0
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,60,600,10,118,BLO,4,0,4,0,0,6.67
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,60,600,10,118,BLO,4,0,4,0,0,6.67
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,180,720,4,350,BLO,5,1,1,1,0,10.0
