Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R104.50,R105.00,R104.00,R104.50,R2090,20,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R104.50,R105.00,R104.00,R104.50,R2090,20,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R104.50,R105.00,R104.00,R104.50,R2090,20,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R104.50,R105.00,R104.00,R104.50,R2090,20,254,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R0.00,R0.00,R0.00,R�,R0,0,274,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R105,1,275,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R210,2,278,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R1050,10,280,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R1050,10,280,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BAG,0.10 kg,R13.00,R13.00,R13.00,R13.00,R780,60,0,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BAG,0.10 kg,R13.00,R13.00,R13.00,R13.00,R780,60,0,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.20 kg,R30.00,R30.00,R30.00,R30.00,R960,32,0,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.50 kg,R55.00,R55.00,R55.00,R55.00,R1650,30,0,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.20 kg,R30.00,R30.00,R30.00,R30.00,R960,32,0,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.50 kg,R55.00,R55.00,R55.00,R55.00,R1650,30,0,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.20 kg,R0.00,R0.00,R0.00,R�,R0,0,32,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.50 kg,R0.00,R0.00,R0.00,R�,R0,0,30,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.20 kg,R0.00,R0.00,R0.00,R�,R0,0,32,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BOX,0.50 kg,R0.00,R0.00,R0.00,R�,R0,0,30,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BAG,0.10 kg,R0.00,R0.00,R0.00,R�,R0,0,60,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BAG,0.10 kg,R0.00,R0.00,R0.00,R�,R0,0,60,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R210,2,290,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R210,2,290,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BULK PACK (BOX),1.00 kg,R105.00,R105.00,R105.00,R105.00,R525,5,292,Cape Town Fresh Produce Market (CAP)
ALMONDS,NO VARIETY,NOT GRADED,NO SIZE,BAG,0.10 kg,R0.00,R0.00,R0.00,R�,R0,0,60,Cape Town Fresh Produce Market (CAP)
